1586,1
1015,1
1498,1
1271,1
1106,1
1460,1
1001,1
1112,1
1584,1
1017,1
1212,1
1535,1
1538,1
1522,1
1540,1
1160,1
1089,1
1097,1
1185,1
1277,1
1449,1
1356,1
1261,1
1516,1
1016,1
1591,1
1327,1
1398,1
1428,1
1319,1
1397,1
1227,1
1303,1
1479,1
1339,1
1007,1
1507,1
1542,1
1355,1
1603,1
1561,1
1216,1
1159,1
1310,1
1560,1
1069,1
1396,1
1590,1
1307,1
1588,1
1201,1
1466,1
1252,1
1246,1
1066,1
1604,1
1323,1
1451,1
1026,1
1338,1
1195,1
1219,1
1232,1
1022,1
1065,1
1405,1
1364,1
1325,1
1485,1
1537,1
1145,1
1605,1
1043,1
1133,1
1515,1
1559,1
1383,1
1276,1
1153,1
1143,1
1119,2
1023,2
1063,2
1198,2
1049,2
1387,2
1162,2
1125,2
1490,2
1206,2
1430,2
1137,2
1551,2
1019,2
1086,2
1085,2
1527,2
1244,2
1464,2
1448,2
1193,2
1041,2
1116,2
1070,2
1552,2
1371,2
1378,2
1575,2
1237,2
1373,3
1030,3
1279,3
1415,3
1600,3
1344,3
1215,3
1021,3
1445,4
1002,4
1447,4
1567,4
1266,4
1202,5
1341,5
1264,6
